rank,id,symbol,name,filepath,rows,status,error
212,ai-companions,aic,AI Companions,data\0212_ai-companions_usd_prices_365d.csv,366,ok,
205,zora,zora,Zora,data\0205_zora_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
213,helium,hnt,Helium,data\0213_helium_usd_prices_365d.csv,366,ok,
206,fartcoin,fartcoin,Fartcoin,data\0206_fartcoin_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
207,gho,gho,GHO,data\0207_gho_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
208,usdb,usdb,USDB,data\0208_usdb_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
209,apecoin,ape,ApeCoin,data\0209_apecoin_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
210,apenft,nft,AINFT,data\0210_apenft_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
214,zebec-network,zbcn,Zebec Network,data\0214_zebec-network_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
222,compound-governance-token,comp,Compound,data\0222_compound-governance-token_usd_prices_365d.csv,366,ok,
215,dexe,dexe,DeXe,data\0215_dexe_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
223,olympus,ohm,Olympus,data\0223_olympus_usd_prices_365d.csv,366,ok,
216,origintrail,trac,OriginTrail,data\0216_origintrail_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
224,eutbl,eutbl,Spiko EU T-Bills Money Market Fund,data\0224_eutbl_usd_prices_365d.csv,366,ok,
217,ethena-staked-ena,sena,Ethena Staked ENA,data\0217_ethena-staked-ena_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
225,savings-dai,sdai,Savings Dai,data\0225_savings-dai_usd_prices_365d.csv,366,ok,
218,zero-gravity,0g,0G,data\0218_zero-gravity_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
226,unit-bitcoin,ubtc,Unit Bitcoin,data\0226_unit-bitcoin_usd_prices_365d.csv,209,ok,
219,ape-and-pepe,apepe,Ape and Pepe,data\0219_ape-and-pepe_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
220,telcoin,tel,Telcoin,data\0220_telcoin_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
221,walrus-2,wal,Walrus,data\0221_walrus-2_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
227,neo,neo,NEO,data\0227_neo_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
235,ribbita-by-virtuals,tibbir,Ribbita by Virtuals,data\0235_ribbita-by-virtuals_usd_prices_365d.csv,217,ok,
